ID	Pregunta	Sprite	Opcion 1	Resultado 1	Opcion 2	Resultado 2	Opcion 3	Resultado 3
1	Holis	2	Hola	2	Buenos días, ¿Cómo le va a usted?	3	Chauchiiis	4
2	¿Cuál hay? 	2	Nada, ¿tu?	5	Todo bien, vago.	4	Todo mal. Odio al mundo.	9
3	¿Usted? ¡Que viejo! ¿Cuántos años tenés?	1	Los suficientes	7	Podría ser tu madre...  (Suspiras pesadamente) 	9	La edad es sólo un número.	15
4	¡Ay! ¡Que mala! Sólo te estaba saludando	3	¡Ay bueno, bueno!... ¿Cómo estás?	5	¿No te gusta que sea mala?	6	Soy malísima (Muestras los dientes). Deberías de tener un poco de cuidado	14
5	¡Yo estoy muy bien! Ay, bueno, un poco nervioso nada más...	2	¿Por qué tan nervioso?	10	¡No te preocupes! Todos pasamos por eso. Nos hacemos los cancheros pero la realidad es que todos estamos en la misma.	15	Deberías, soy una dragona muy demandante	13
6	Tal vez un poquito... Me atraen las chicas con agallas ¡Rawrrr! 	3	Que lastima, estás con la dragona equivocada entonces	16	A mi también, las chicas son todo lo que deseo	15	¡RAWR! (Muestras los dientes y garras de forma amenazante)	15
7	¿Para qué?	1	Que nos llevemos bien	8	Para seducierte	12	Para darte una paliza	4
8	¡Obvio! Si soy un tipo bien chevere, te prometo una velada alucinante	2	¡Mmmm! No puedo confiar en tales promesas...	22	No si la arruino primero (Le das una mirada malvada y tiras al piso tu vaso que se rompe en mil pedazos)	12	¿Y quién es este chico tan chevere? Cuéntame algo de ti	18
9	¿Estás bien? ¿Te pasa algo?	1	Vivimos sin sentido, llenando nuestras vacías vidas con ridículos objetivos que sólo te impulsan a ganar dinero en un trabajo que odias. Únicamente para poder comprar cosas inútiles que no necesitamos...	11	Estoy muy triste....	11	Estoy en una cita con un imberbe, ¿Acaso eso no es suficiente?	19
10	¡Porque eres una belleza! ¡Tu foto no hace justicia!	3	¡Gracias! Que amable... Cuéntame algo de ti	18	Nadie pidió tu opinión, gilipollas.	19	Tu no te quedás atrás, guapetón 	21
11	(Te abraza muy fuerte) Ya está, ahora vamos a pasarla muy bien juntos, divertirnos y olvidarnos de las cosas feas... 	2	Mmmm... Que lindo abrazo.	13	¡Soltáme, bestia! 	19	(Te alejas) Te agradezco... pero no.	17
12	¡Que descarada! ¡Que intensa eres! ¡Jajja! Me encantan las dragonas determinantes, me recuerdan a mi madre...	2	Todo venía bien hasta que salió el Edipo a relucir. Contame; ¿Alguna vez tuviste pensamientos lujuriosos con ella?	20	Soy una perfecta candidata para la maternidad entonces.	15	Me gustaría conocerla algun día	23
13	Hay más de mí que puedo mostrarte, si lo deseas...	3	¿Tu casa o la mía?	24	¡Préñame aquí mismo!	23	No, gracias.... (Te alejas lentamente)	22
14	Yo tambien puedo sacar mis garras. Puedo invocar mi fuego si es necesario. No creas que eres la única depredadora aquí.	3	Nunca me vencerías en una batalla, soy feroz. Soy demasiado dragona para ti, debilucho.	12	Soy una horrible depredadora,acabo de decirlo; soy malísima.	16	Ohh no (Con tono inocente y burlón). ¿Quién podrá defenderme de este feroz dragón?	21
15	¡Me encanta como piensas!	2	A mi tambén, soy adorable.	25	A mi me encantan tus abdominales.	13	Te advierto, no te enamores de mí, vas a salir lastimado. Soy voraz.	25
16	¿Por qué? A mi me pareces una dragona genial.	2	Gracias, eres dulce.	21	Lo soy, tal vez demasiado genial para ti.	21	No trates de levantarme el ánimo, soy una horrible persona y merezco lo peor. Tal vez un gran castigo, con látigos,latex y, ya que estamos, tal vez que me esposen.	25
17	Vamos, ¡La vas a pasar bien!	3	¿Con un dragón de fuego? Pfff ¡Jamás! ¡Ustedes son de lo peor!	20	No lo creo...	22	¡No lo dudo!	21
18	Yo soy un chico normal, me encantan las chicas preciosas como tu, disfruto la vida y amo las fiestas	2	Yo quiero disfrutarte	12	Que vida más envidiable, la mia en cambio es horrible...	16	Que vida màs banal... Sin ambiciones, ni objetivos. Sólo una vida vacía a la que llenas con nimiedades.	22
19	¡Que grosera! ¿Con esa boquita besas a tu mamá?	4	Claramente el besa-madres acá eres tú	20	Y esta boquita puede hacer más obsenidades todavía...	25	¿¡Por qué no me besas el trasero?!	-1
20	¡No voy a quedarme aquí para ser insultado por una dragona tonta!	4	¡Tonta tu madre!	-1	¡Ay, no te lo tomes tan en serio! Bueno ya está, olvidémonos de esto y hablemos de algo más; a ver cuéntame un poco más de tí.	18	¡Te lo mereces por gilipollas!	-1
21	¡Que delicia de mujer eres! Te comería toda.	3	No si yo te como primero  (Muerdes ferozmente al aire)	14	Ay, mi corazoncito, lamento decepcionarte, precioso... pero en realidad soy un hombre	24	Toda una delicia. Dicen que mis escamas son lo más dulce que algún dragún alguna vez probó.	25
22	¡No seas aguafiestas!	2	Es que no me siento muy bien, ¡No puedes obligarme a ser el alma de la fiesta!	11	Aguafiestas es mi segundo nombre, machote, no te hagas el vivo conmigo.	12	Momentito, momentito, me parece que no nos estamos entendiendo... Yo hago lo que quiero, Si quiero ser aguafiestas lo soy y punto ¿Te queda claro?	12
23	¡Un momento, un momento! Creo que te estas apresurando mucho.	4	¡Pasaste la prueba! Eres el perfecto candidato para la aventura sexy que estoy buscando.	21	¡Cuanto miedo al compromiso! 	22	Cobarde.	19
24	¡Epaaaa! Este dragon de fuego esta ardiendo por ti (Sus llamas se intensifican). Llévame adonde quieras, soy tuyo. 	3	¡Que pervertido! Vamos	0	Espera, espera, estamos yendo muy rápido, primero cuéntame algo de ti.	18	En tus sueños, fosforito.	-1
25	¡Mmmm! ¡Cuéntame más!	3	Fin.	22	A cambio de un beso (Le guiñas un ojo).	21	Sólo si vamos a un lugar más privado...	0
